,price,date_of_transfer,joined
161,32000,2021-02-17,11 STATION ROAD
162,10000000,2020-06-24,"BETJEMAN HOUSE, 104 HILLS ROAD"
163,1500000,2020-06-24,110 HILLS ROAD
164,485000,2020-06-24,106 HILLS ROAD
165,108250,2022-09-20,106 HILLS ROAD
166,7500000,2021-11-24,37 HILLS ROAD
167,475000,2020-04-03,54 BATEMAN STREET
168,7850000,2020-07-17,57 - 60 BATEMAN STREET
169,645000,2021-03-30,54 BATEMAN STREET
170,550000,2021-09-30,56 BATEMAN STREET
171,8080000,2022-08-31,57 - 60 BATEMAN STREET
172,810000,2024-07-04,51 BATEMAN STREET
173,810000,2024-07-04,51 BATEMAN STREET
174,345000,2020-06-12,86 GREAT NORTHERN ROAD
175,759000,2021-06-30,110 GREAT NORTHERN ROAD
176,510000,2022-03-18,90 GREAT NORTHERN ROAD
177,335000,2022-05-04,142 GREAT NORTHERN ROAD
178,500000,2022-10-12,112 GREAT NORTHERN ROAD
179,687555,2022-04-22,40 BATEMAN STREET
180,350000,2020-01-24,97 GREAT NORTHERN ROAD
181,123000,2021-12-08,87 GREAT NORTHERN ROAD
182,505000,2021-12-10,35 GREAT NORTHERN ROAD
183,535000,2023-04-28,69 GREAT NORTHERN ROAD
184,530000,2023-10-06,47 GREAT NORTHERN ROAD
185,415000,2023-10-31,5 GREAT NORTHERN ROAD
186,413500,2024-01-22,5 GREAT NORTHERN ROAD
187,580000,2023-01-31,72A PANTON STREET
188,595000,2021-06-11,101 NORWICH STREET
189,711000,2021-06-30,41 NORWICH STREET
190,595000,2022-02-16,105 NORWICH STREET
191,965000,2022-07-08,19 NORWICH STREET
192,630000,2023-01-10,59 NORWICH STREET
193,665000,2023-05-26,41 NORWICH STREET
194,586000,2023-06-02,53 NORWICH STREET
195,900000,2023-07-07,17 NORWICH STREET
196,810000,2023-08-30,43 NORWICH STREET
197,530000,2023-12-08,73 NORWICH STREET
198,561240,2024-03-19,71 NORWICH STREET
199,300000,2021-04-16,33 RAVENSWORTH GARDENS
200,600000,2021-06-14,9 RAVENSWORTH GARDENS
201,555000,2021-06-28,8 RAVENSWORTH GARDENS
202,350000,2022-06-13,31 RAVENSWORTH GARDENS
203,370000,2023-03-06,4 RAVENSWORTH GARDENS
204,670000,2024-02-14,22 RAVENSWORTH GARDENS
205,610000,2024-03-08,23 RAVENSWORTH GARDENS
206,380000,2020-03-13,78 NORWICH STREET
207,665000,2021-09-15,50 NORWICH STREET
208,602000,2022-05-31,62 NORWICH STREET
209,700000,2022-10-28,58 NORWICH STREET
210,660000,2023-07-07,88 NORWICH STREET
211,425000,2020-03-09,7 HIGHSETT
212,415000,2020-12-16,26 HIGHSETT
213,450000,2021-08-09,3 HIGHSETT
214,430000,2021-10-15,24 HIGHSETT
215,435000,2022-08-05,5 HIGHSETT
216,380000,2023-08-04,26 HIGHSETT
217,595000,2023-11-02,1 HIGHSETT
218,530000,2024-07-05,16 HIGHSETT
219,1550000,2021-03-30,7 ECCLESTON PLACE
220,400000,2022-01-07,OLD ST PAULS RUSSELL STREET
221,375000,2023-11-10,OLD ST PAULS RUSSELL STREET
222,420000,2024-04-18,OLD ST PAULS RUSSELL STREET
223,298500,2020-12-18,90 RAVENSWORTH GARDENS
224,360000,2021-01-05,70 RAVENSWORTH GARDENS
225,332000,2021-08-23,79 RAVENSWORTH GARDENS
226,335000,2021-09-23,80 RAVENSWORTH GARDENS
227,337000,2022-03-11,62 RAVENSWORTH GARDENS
228,302000,2022-03-11,75 RAVENSWORTH GARDENS
229,305000,2023-02-10,65 RAVENSWORTH GARDENS
230,600000,2024-03-19,81 RAVENSWORTH GARDENS
231,370005,2024-07-01,92 RAVENSWORTH GARDENS
232,450000,2021-04-08,21 ST ELIGIUS STREET
233,805000,2021-12-09,5 ST ELIGIUS STREET
234,581000,2021-06-29,28 RUSSELL COURT
235,430000,2021-06-09,36 HIGHSETT
236,462500,2023-05-31,31 HIGHSETT
237,425000,2023-10-30,32 HIGHSETT
238,650000,2021-03-17,45 HIGHSETT
239,782500,2021-07-09,58 HIGHSETT
240,720000,2022-02-09,84 HIGHSETT
241,550000,2022-09-06,53 HIGHSETT
242,846547,2022-09-30,47 HIGHSETT
243,825000,2022-12-12,75 HIGHSETT
244,775000,2023-04-13,84 HIGHSETT
245,790000,2023-08-30,83 HIGHSETT
246,685000,2023-09-28,43 HIGHSETT
247,750000,2023-12-15,78 HIGHSETT
248,785000,2021-04-13,67 PANTON STREET
249,1060000,2023-02-14,35 PANTON STREET
250,1400000,2024-06-19,39 PANTON STREET
251,1575000,2021-04-06,15 TENISON AVENUE
252,600000,2022-07-08,47 DEVONSHIRE ROAD
253,725000,2023-03-17,64 DEVONSHIRE ROAD
254,565000,2020-10-30,37 RUSSELL STREET
255,565000,2021-03-09,35 RUSSELL STREET
256,311000,2024-08-30,33 RUSSELL STREET
257,1758000,2021-06-29,14 TENISON AVENUE
258,895000,2022-03-30,28 TENISON AVENUE
259,1400000,2022-05-25,8 TENISON AVENUE
260,1451234,2020-12-18,12 ST BARNABAS COURT
261,1250000,2021-01-20,1 ST BARNABAS COURT
262,1150000,2021-03-25,18 ST BARNABAS COURT
263,1315999,2023-08-31,19 ST BARNABAS COURT
264,600000,2023-02-28,1 CORONATION STREET
265,275000,2020-06-15,76 DEVONSHIRE MEWS
266,345000,2020-09-04,83 DEVONSHIRE MEWS
267,325500,2022-06-06,81 DEVONSHIRE MEWS
268,307000,2022-06-29,73 DEVONSHIRE MEWS
269,336000,2022-11-04,100 DEVONSHIRE MEWS
270,285000,2023-10-06,93 DEVONSHIRE MEWS
271,212500,2022-02-16,30 HILLS ROAD
272,937500,2022-02-16,30 HILLS ROAD
273,2100000,2022-03-07,56 HILLS ROAD
274,482000,2023-03-06,50 HILLS ROAD
275,285000,2021-03-08,95 TENISON ROAD
276,295000,2023-03-29,95 TENISON ROAD
277,1350000,2023-06-02,12 GLISSON ROAD
278,280000,2022-07-28,"SIX STEPS, 93 TENISON ROAD"
279,324500,2021-12-23,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
280,290000,2022-01-04,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
281,350000,2022-02-11,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
282,315000,2022-02-18,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
